id,variante,categorie,anglais,arabe_litteraire,francais,arabe_tchadien_masculin,translit_masculin,arabe_tchadien_feminin,translit_feminin,note
1,1,Salutations et politesse,Hi,مرحباً,Salut,السلام عليكم,salam alaykum,السلام عليكم,salam alaykum,invariable
2,1,Salutations et politesse,Good morning,صباح الخير,Bonjour,صباح الخير,sabah al kher,صباح الخير,sabah al kher,invariable
3,1,Salutations et politesse,Good evening,مساء الخير,Bonsoir,مسا الخير,masal kher,مسا الخير,masal kher,invariable
4,1,Salutations et politesse,How are you,كيف حالك,Comment ça va,كيف الحال,kef al hal,كيف الحال,kef al hal,invariable
5,1,Salutations et politesse,I am fine thank you,أنا بخير شكراً,Ça va bien merci,تمام شكراً,tamam shukran,تمام شكراً,tamam shukran,invariable
6,1,Salutations et politesse,Thank you very much,شكراً جزيلاً,Merci beaucoup,شكراً,shukran,شكراً,shukran,invariable
7,1,Salutations et politesse,You are welcome,عفواً,De rien,ما بي شي شي,ma bi say chay,ما بي شي شي,ma bi say chay,invariable
8,1,Salutations et politesse,Goodbye,مع السلامة,Au revoir,مع السلامة,maassalama,مع السلامة,maassalama,invariable
9,1,Salutations et politesse,See you soon,إلى اللقاء,À bientôt,إلى يوم آخر,illa yom akhar,إلى يوم آخر,illa yom akhar,invariable
10,1,Salutations et politesse,What is your name,ما اسمك,Comment tu t'appelles,اسمك ياتو,usmak yatu,اسمكي ياتو,usumki yatu,destinataire h/f
11,1,Questions courantes,What time is it,كم الساعة,Quelle heure est-il,الساعة كم,al saa kam,الساعة كم,al saa kam,invariable
12,1,Questions courantes,What day is it today,ما هو يوم اليوم,Quel jour on est aujourd'hui,اليوم شنو,alyom shunu,اليوم شنو,alyom shunu,invariable
13,1,Questions courantes,What is the weather like,كيف الطقس,Quel temps fait-il,كيف الجو,kef al jaw,كيف الجو,kef al jaw,invariable
14,1,Questions courantes,How much is two plus two,كم يساوي اثنان زائد اثنان,Combien font deux plus deux,كم بسوي اتنين زائد اتنين,kam bisawi itnen zayid itnen,كم بسوي اتنين زائد اتنين,kam bisawi itnen zayid itnen,invariable
15,1,Questions courantes,What is the capital of Chad,ما هي عاصمة تشاد,C'est quoi la capitale du Tchad,عاصمة حق تشاد ياتي,asima hin tchad yati,عاصمة حق تشاد ياتي,asima hin tchad yati,invariable
16,1,Questions courantes,Tell me a joke,احكِ لي نكتة,Raconte-moi une blague,احكيني بنكتة,ahkini be nukta,احكيني بنكتة,ahkini be nukta,forme unique
17,1,Questions courantes,How are you today,كيف حالك اليوم,Comment tu vas aujourd'hui,كيف حالك اليوم,kef halak al yom,كيف حالكي اليوم,kef halki al yom,destinataire h/f
18,1,Questions courantes,What can you do,ماذا تستطيع أن تفعل,Qu'est-ce que tu peux faire,شنو تقدر تسوي,chunu tagdar ti sey,شنو تقدري تسوي,chunu tagdare ti sey,destinataire h/f
19,1,Questions courantes,Who are you,من أنت,Qui es-tu,انت ياتو,inta yatu,انتي ياتو,inti yatu,destinataire h/f
20,1,Questions courantes,Help me please,ساعدني من فضلك,Aide-moi s'il te plaît,الله عليك ساعدني,allah alek saidini,الله عليكي ساعدني,allah aleki saidini,destinataire h/f
21,1,Commandes d'action,Set an alarm at seven o'clock,ضع منبهاً على الساعة السابعة,Mets une alarme à sept heures,حط المنبه في الساعة سبعة,hut munabih fi saa saba,حطي المنبه في الساعة سبعة,hutti munabih fi saa saba,destinataire h/f
22,1,Commandes d'action,Remind me to call my mother,ذكّرني بالاتصال بأمي,Rappelle-moi d'appeler ma mère,ذكرني عشان أنادي أمي,zakkirini ashan ni nadi ammi,ذكرني عشان أنادي أمي,zakkirini ashan ni nadi ammi,invariable
23,1,Commandes d'action,Find a restaurant near me,ابحث عن مطعم قريب مني,Cherche un restaurant près de moi,فتش لي مطعم قريب لي,fatich lay matam garib ley,فتشي لي مطعم قريب لي,fatichi lay matam garib ley,destinataire h/f
24,1,Commandes d'action,Turn yourself off,أطفئ نفسك,Éteins-toi,اسكت,askut,اسكتي,asukti,destinataire h/f
25,1,Commandes d'action,Repeat what you said,كرر ما قلته,Répète ce que tu as dit,كرر كلام اللي قلته دا,karrir kalam al gulta da,كرري كلام اللي قلتي دا,karriri kalam al gulti da,destinataire h/f
26,1,Commandes d'action,Speak louder,تكلم بصوت أعلى,Parle plus fort,ارفع صوتك,arfa sotak,ارفعي صوتكي,arfee sotki,destinataire h/f
27,1,Commandes d'action,Speak more softly,تكلم بهدوء,Parle plus doucement,حاجي بشيش,haji be bishesh,حاجي بشيش,haji be bishesh,forme unique
28,1,Commandes d'action,Stop listening,توقف عن الاستماع,Arrête d'écouter,وقف سمع,waggif sama,وقفي سمع,waggifi sama,destinataire h/f
29,1,Commandes d'action,Start over,ابدأ من جديد,Recommence,أبداً,abada,أبداً,abade,destinataire h/f - a confirmer sens exact
30,1,Commandes d'action,Send a message,أرسل رسالة,Envoie un message,ارسل لي رسالة,rassil leyi risala,ارسلي لي رسالة,rassili leyi risala,destinataire h/f
31,1,Chiffres et nombres,One,واحد,Un,واحد,wahid,واحد,wahid,invariable
32,1,Chiffres et nombres,Two,اثنان,Deux,اتنين,tinen,اتنين,tinen,invariable
33,1,Chiffres et nombres,Three,ثلاثة,Trois,تلاتة,talata,تلاتة,talata,invariable
34,1,Chiffres et nombres,Four,أربعة,Quatre,أربعة,arbaa,أربعة,arbaa,invariable
35,1,Chiffres et nombres,Five,خمسة,Cinq,خمسة,khamsa,خمسة,khamsa,invariable
36,1,Chiffres et nombres,Ten,عشرة,Dix,عشرة,ashara,عشرة,ashara,invariable
37,1,Chiffres et nombres,Twenty,عشرون,Vingt,عشرين,ishirin,عشرين,ishirin,invariable
38,1,Chiffres et nombres,Hundred,مئة,Cent,مية,miya,مية,miya,invariable
39,1,Chiffres et nombres,Thousand,ألف,Mille,ألف,alif,ألف,alif,invariable
40,1,Chiffres et nombres,Zero,صفر,Zéro,صفر,sifir,صفر,sifir,invariable
41,1,Conversation libre,I am tired today,أنا متعب اليوم,Je suis fatigué aujourd'hui,أنا اليوم عيّت,ana alyom iyit,أنا اليوم عيّت,ana alyom iyit,invariable
42,1,Conversation libre,I am hungry,أنا جائع,J'ai faim,أنا جيان,ana jian,أنا جيانة,ana jiane,
42,2,Conversation libre,I am hungry,أنا جائع,J'ai faim,جوع ساواني,ju sawani,جوع ساواني,ju sawani,invariable
43,1,Conversation libre,I am thirsty,أنا عطشان,J'ai soif,عطشان,atshan,عطشانة,atshane,
44,1,Conversation libre,I am happy,أنا سعيد,Je suis content,أنا مبسوط,ana mabsut,أنا مبسوطة,ana mabsuta,
44,2,Conversation libre,I am happy,أنا سعيد,Je suis content,أنا فرحان,ana farhan,أنا فرحانة,ana farhane,
45,1,Conversation libre,I am sad,أنا حزين,Je suis triste,أنا حزنان,ana haznan,أنا حزنانة,ana haznane,
46,1,Conversation libre,I like music,أحب الموسيقى,J'aime la musique,نحب الغنا,ni hib al ghine,نحب الغنا,ni hib al ghine,invariable
46,2,Conversation libre,I like music,أحب الموسيقى,J'aime la musique,نريد الغنا,ni rid al ghine,نريد الغنا,ni rid al ghine,invariable
